depth_bin,depth_mean,damage_ratio_mean,damage_ratio_median,damage_ratio_std,count
"(0.00259, 1.166]",0.15717494345819005,0.5834852211913116,0.6,0.3609384265663887,129108
"(1.166, 2.306]",1.6296848742472547,0.7432972122244259,0.8470075857142858,0.2852638458369954,5646
"(2.306, 3.447]",2.753000808080808,0.8418752882980084,1.0,0.25082436993253504,2475
"(3.447, 4.587]",3.9182069364161847,0.9005860372393574,1.0,0.1929993539857966,1038
"(4.587, 5.728]",5.087125791855203,0.911665860765913,1.0,0.1850347730532175,221
"(5.728, 6.868]",6.1262807843137255,0.9378884415738425,1.0,0.15192756995793932,510
"(6.868, 8.009]",7.552021256038647,0.9386165933305621,1.0,0.17789568975626505,207
"(8.009, 9.149]",9.057729797979798,0.9466811379679785,1.0,0.13985728746334586,396
"(9.149, 10.29]",9.75868,0.923177737312086,1.0,0.18268122208830484,10
"(10.29, 11.43]",10.695939999999998,0.9321146170584752,1.0,0.1547083458353933,80
"(11.43, 12.57]",12.065,0.8369976120455198,1.0,0.30557772160594493,12
"(12.57, 13.711]",13.191066666666666,0.9567030303030304,1.0,0.07499255132892156,3
"(13.711, 14.851]",13.716,0.5887550200803213,0.5887550200803213,,1
"(14.851, 15.992]",15.0749,0.6930791099609228,0.6930791099609228,0.31130300678831585,2
"(18.273, 19.413]",18.288,0.9230769230769231,0.9230769230769231,,1
"(20.554, 21.694]",20.573999999999998,0.5783130010277493,0.5783130010277493,,1
"(21.694, 22.835]",22.8346,0.2857978021978022,0.2857978021978022,,1
