company,event,storeys,kappa_tot,ECL_paper_M,actual_loss_M
NRG Energy,Harvey,1,0.21,133,75
LyondellBasell,Harvey,1,0.21,246,200
ExxonMobil,Harvey,1,0.21,287,170
CenterPoint Energy,Harvey,1,0.21,144,125
Olin Corp,Harvey,1,0.21,39,43
Huntsman Corp,Harvey,1,0.21,64,50
Phillips 66 Harvey,Harvey,1,0.21,54,60
HCA Healthcare,Harvey,3,0.14,107,50
Western Digital,Thailand,1,0.21,284,275
Canon,Thailand,1,0.21,177,260
Toshiba,Thailand,1,0.21,190,260
Panasonic,Thailand,1,0.21,127,170
Nikon,Thailand,2,0.16,93,140
Minebea,Thailand,2,0.16,94,120
Pioneer,Thailand,1,0.21,58,100
Rohm,Thailand,1,0.21,51,67
Honda,Thailand,1,0.21,190,500
Toyota SA,KZN,1,0.21,308,361
Baxter International,Helene,2,0.16,125,200
Abbott Labs,Michigan,1,0.21,23,15
Con Edison,Sandy,1,0.21,489,460
International Paper,Florence,1,0.21,70,35
Phillips 66 Ida,Ida,1,0.21,240,400
United Biscuits,Desmond,2,0.16,39,30
