company,event,storeys,kappa_tot,ECL_paper_M,actual_loss_M,ratio,log_ratio
NRG Energy,Harvey,1,0.21,133,75,1.7733333333333334,0.5728610146854434
LyondellBasell,Harvey,1,0.21,246,200,1.23,0.20701416938432612
ExxonMobil,Harvey,1,0.21,287,170,1.688235294117647,0.5236837787093593
CenterPoint Energy,Harvey,1,0.21,144,125,1.152,0.14149956227369942
Olin Corp,Harvey,1,0.21,39,43,0.9069767441860465,-0.09763846956391606
Huntsman Corp,Harvey,1,0.21,64,50,1.28,0.2468600779315258
Phillips 66 Harvey,Harvey,1,0.21,54,60,0.9,-0.10536051565782628
HCA Healthcare,Harvey,3,0.14,107,50,2.14,0.7608058290337602
Western Digital,Thailand,1,0.21,284,275,1.0327272727272727,0.032203140494634734
Canon,Thailand,1,0.21,177,260,0.6807692307692308,-0.38453189844169855
Toshiba,Thailand,1,0.21,190,260,0.7307692307692307,-0.31365755885504165
Panasonic,Thailand,1,0.21,127,170,0.7470588235294118,-0.2916113505916705
Nikon,Thailand,2,0.16,93,140,0.6642857142857143,-0.4090429294560484
Minebea,Thailand,2,0.16,94,120,0.7833333333333333,-0.2441969605120421
Pioneer,Thailand,1,0.21,58,100,0.58,-0.5447271754416722
Rohm,Thailand,1,0.21,51,67,0.7611940298507462,-0.27286698666664033
Honda,Thailand,1,0.21,190,500,0.38,-0.9675840262617056
Toyota SA,KZN,1,0.21,308,361,0.853185595567867,-0.1587781753593065
Baxter International,Helene,2,0.16,125,200,0.625,-0.4700036292457356
Abbott Labs,Michigan,1,0.21,23,15,1.5333333333333334,0.42744401482693967
Con Edison,Sandy,1,0.21,489,460,1.0630434782608695,0.06113599999173131
International Paper,Florence,1,0.21,70,35,2.0,0.6931471805599453
Phillips 66 Ida,Ida,1,0.21,240,400,0.6,-0.5108256237659907
United Biscuits,Desmond,2,0.16,39,30,1.3,0.26236426446749106
